id,habitat_element,habitat_element_type,size,location,measure_description,maintenance,combined_with
spaltenquartiere_an_fassaden_wochenstuben,Spaltenquartiere an Fassaden (Wochenstuben),Quartier/Nisthilfe,mind. H40 x B28 x T8 cm; Spaltenbreite von ca. 12 - 40 mm,in mind. 3 m Höhe; ruhig und unbeleuchtet,"Die Quartiere sollten so angebracht werden, dass ein freier An- und Ausflug gewährleistet ist. Es sollten sich keine stark befahrenen Straßen in der unmittelbaren Umgebung befinden. Da Fledermäuse ihre Quartiere zur Wärmeregulation regelmäßig wechseln, sollten diese an unterschiedlich ausgerichteten Fassaden plaziert werden. Für Wochenstubenquartiere werden eher wärmere, nach SO, S oder SW ausgerichtete Quartiere bevorzugt. Besonders gerne werden Quartiere in der Nähe von Stillgewässern bezogen. Windgeschützte Standorte an eher niedrigen Wohnhäusern werden bevorzugt. Die Spaltenkästen sollten eine ausreichende Größe aufweisen, da die Jungenaufzucht in Gruppen erfolgt. Um Verschmutzung und Konflikte durch herausfallenden Kot zu vermeiden, sollten Fledermauskästen nicht über Fenstern, Balkonen, Hauseingängen oder Terassen montiert werden.","Fledermausspaltenkästen/Fassadenquartiere, die nach unten offen sind, sind in der Regel selbstreinigend und daher wartungsfrei. Je nach Hangplatz und abhängig von der Belegung, können anfallende Kotspuren unterhalb des Kastens mit einem Besen entfernt werden.",Krautsaum; (Wild-)Staudenfläche; Blumenwiese
spaltenquartiere_unter_attika,Spaltenquartiere unter Attika,Quartier/Nisthilfe,Spaltentiefe ca. 20 cm; Spaltenhöhe 10 - 18 mm; mind. 1m Breite,in mind. 3 m Höhe; ruhig und unbeleuchtet,"Spaltenquartiere für die Zwergfledermaus können auch unter der Attikabohle/Flachdach-Abschluss integriert werden. Für die Schlupfspalte ist sägeraues, chemisch unbehandeltes (ohne Imprägnierschutz) Holz zu verwenden. Sie ist keilförmig, mit einer sich nach hinten verjüngenden Spaltenhöhe, zu gestalten. Durch die variable Spaltenhöhe kann sichergestellt werden, dass die Spalte von verschiedenen Individuen genutzt werden kann, da diese je nach Größe einen Platz wählen können, bei dem Rücken- und Bauchseite an der Spalte anliegen. Da Fledermäuse Zugluft meiden, werden die Ritzen der Schlupfspalte dicht verschlossen. Die Quartiere sollten so angebracht werden, dass ein freier An- und Abflug gewährleistet ist. (Schmidt, 2017; Weber; Rudolph, 2015; LBV München)",Spaltenquartiere unter der Attika sind in der Regel selbstreinigend und somit wartungsfrei.,Krautsaum; (Wild-)Staudenfläche; Blumenwiese
isolierte_spaltenquartiere_an_fassade_winterquartier,Isolierte Spaltenquartiere an Fassade (Winterquartier),Quartier/Nisthilfe,,in mind. 3 m Höhe; ruhig und unbeleuchtet,"Die Quartiere sollten so angebracht werden, dass ein freier An- und Abflug gewährleistet ist. Winterquartiere können in alle Himmelsrichtungen ausgerichtet werden. Als Winter- bzw. Ganzjahresquartiere eignen sich alle wärmegedämmtem Spalten- oder Universalquartiere.","Fledermausspaltenkästen/Fassadenquartiere, die nach unten offen sind, sind in der Regel selbstreinigend und daher wartungsfrei. Je nach Hangplatz und abhängig von der Belegung, können anfallende Kotspuren unterhalb des Kastens mit einem Besen entfernt werden.",Krautsaum; (Wild-)Staudenfläche; Blumenwiese
gebaeudespalten_spaltenquartiere_an_fassaden_sommerquartier,Gebäudespalten/ Spaltenquartiere an Fassaden (Sommerquartier),Quartier/Nisthilfe,,in mind. 3 m Höhe; ruhig und unbeleuchtet,"Die Quartiere sollten so angebracht werden, dass ein freier An- und Abflug gewährleistet ist. Da Fledermäuse ihre Quartiere zur Wärmeregulation regelmäßig wechseln, sollten diese an unterschiedlich ausgerichteten Fassaden plaziert werden.","Fledermausspaltenkästen/Fassadenquartiere, die nach unten offen sind, sind in der Regel selbstreinigend und daher wartungsfrei. Je nach Hangplatz und abhängig von der Belegung, können anfallende Kotspuren unterhalb des Kastens mit einem Besen entfernt werden.",Krautsaum; (Wild-)Staudenfläche; Blumenwiese
isolierte_spaltenquartiere_an_hohen_fassaden_winterquartier,Isolierte Spaltenquartiere an hohen Fassaden (Winterquartier),Quartier/Nisthilfe,,in mind. 10 m Höhe; ruhig und unbeleuchtet,"Für die Anbringung der Quartiere sollten möglichst hohe Gebäude gewählt werden, da bestimmte Fledermausarten, wie z.B. die Zweifarbfledermaus, möglichst hoch gelegene Winterquartiere bevorzugen. Ein freier An- und Abflug sollte auch gewährleistet sein. Winterquartiere können in alle Himmelsrichtungen ausgerichtet werden.","Fledermausspaltenkästen/Fassadenquartiere, die nach unten offen sind, sind in der Regel selbstreinigend und daher wartungsfrei. Je nach Hangplatz und abhängig von der Belegung, können anfallende Kotspuren unterhalb des Kastens mit einem Besen entfernt werden.",Krautsaum; (Wild-)Staudenfläche; Blumenwiese
spaltenquartiere_an_baeumen_sommerquartier,Spaltenquartiere an Bäumen (Sommerquartier),Quartier/Nisthilfe,,in mind. 3 m Höhe; ruhig und unbeleuchtet,"Die Quartiere sollten so angebracht werden, dass ein freier An- und Abflug gewährleistet ist. Da Fledermäuse ihre Quartiere zur Wärmeregulation regelmäßig wechseln, sollten diese an unterschiedlich ausgerichteten Stellen plaziert werden.","Fledermausspaltenkästen/Fassadenquartiere, die nach unten offen sind, sind in der Regel selbstreinigend und daher wartungsfrei.",Krautsaum; (Wild-)Staudenfläche; Blumenwiese
spaltenquartiere_an_baeumen_wochenstuben,Spaltenquartiere an Bäumen (Wochenstuben),Quartier/Nisthilfe,mind. H40 x B28 x T8 cm; Spaltenbreite von ca. 12 - 40 mm,in mind. 3 m Höhe; ruhig und unbeleuchtet,"Die Quartiere sollten so angebracht werden, dass ein freier An- und Abflug gewährleistet ist. Es sollten sich keine stark befahrenen Straßen in der unmittelbaren Umgebung befinden. Da Fledermäuse ihre Quartiere zur Wärmeregulation regelmäßig wechseln, sollten diese an unterschiedlich ausgerichteten Stellen plaziert werden. Für Wochenstubenquartiere werden eher wärmere, nach SO, S oder SW ausgerichtete Quartiere bevorzugt. Besonders gerne werden Quartiere in der Nähe von Stillgewässern bezogen .","Fledermausspaltenkästen/Fassadenquartiere, die nach unten offen sind, sind in der Regel selbstreinigend und daher wartungsfrei.",Krautsaum; (Wild-)Staudenfläche; Blumenwiese
extensive_dachbegruenung_praeriedach,Extensive Dachbegrünung - Präriedach,Dachbegrünung,,,"Der Dachbegrünungstyp ""Präriedach"" weist höherwüchsige Pflanzen bis hin zu kleinen Sträuchern auf und erhöht somit die Strukturvielfalt und die Artenvielfalt auf dem Dach. Als Substrat für die Anlage eines Präriedaches eignet sich lehmhaltiger Sandboden (Korntextur 0-4mm) mit einem Feinerde/ Komposterdeanteil von 40%,, das mit offenporigen Komponenten (z.B. Blähton, Lava, Bims) ergänzt wird. Die Dicke der Vegetationstragschicht sollte mind. 18 cm (ohne Mäanderelemente, Speichervlies, etc.) betragen. Darauf sollte eine kombinierte Ansaat (Regiossatgutmischung) und Anpflanzung von einheimischen Stauden und Gräserfluren erfolgen. Die Zusammensetzung gebietseigener Arten kann um die Ansaat bzw. Pflanzung von niedrigen Sträuchern, z.B. Besenginster (Cytisus scoparius), Hunds-Rose (Rosa canina) ergänzt werden. Der beste Ansaatzeitpunkt ist im Frühjahr (März bis Mitte Juni).","Gründächer sind jährlich zu kontrollieren. Ansaaten und ggf. notwendige Nachsaaten sollten vorzugsweise im Frühjahr stattfinden. Die Flächen werden max. 1 x pro Jahr nach der Blüte gestaffelt mit einem Freischneider gemäht. Teile der Vegetation sollen dabei abwechselnd auch über die Wintermonate stehen gelassen werden. Das Schnittgut muss, nachdem es einige Tage auf der Fläche blieb, abtransportiert werden. Sollten unerwünschte Pflanzenarten aufkommen, sind diese bei einem jährlichen Kontrollgang (Oktober - November) zu entfernen. Bereiche wie Kiesstreifen und Bodenenbeläge, werden ebenfalls überprüft und von Vegetation befreit (Engel 2017; Pfoser & Dierks 2020; Stadt Zürich 2017).",Sandlinsen; Sandflächen; Horizontales Totholz; Steinhaufen
extensive_dachbegruenung_steppendach,Extensive Dachbegrünung - Steppendach,Dachbegrünung,,,"Der Dachbegrünungstyp ""Steppendach"" orientiert sich an Offenlandschaften. Durch die Begrünung mit artenreicher Trockenrasenvegetation (Regiosaatgut) wird die Nahrungsgrundlage für eine Vielzahl von Tieren erhöht, darunter zahlreiche Insekten-, Fledermaus und Vogelarten. Als Substrat eignet sich lehmhaltiger Sandboden mit einer Korntextur von 0-4 mm und geringem Feinerdeanteil (20%), welches mit offenporigen Komponenten (z.B. Blähton, Lava, Bims) ergänzt wird. Die Dicke der Vegetationstragschicht liegt bei mind. 15cm (ohne Mäanderelemente, Speichervlies, etc.) und sollte durch höhere Anhügelungen ergänzt werden. Auf eine ausreichende Wasserrückhaltekapazität ist zu achten. Auf dem Substrat wird eine weitgehend gebietseigene Trockenrasenmischung (Regiossatgut), die and die extremen Bedingungen auf dem Dach angepasst ist, angesäht. Die Ansaaten und ggf. Nachssaten sollten vorzugsweise im Frühjahr (März bis Mitte Juni) stattfinden.","Gründächer sind jährlich zu kontrollieren. Ansaaten und ggf. notwendige Nachsaaten sollten vorzugsweise im Frühjahr stattfinden. Die Flächen werden max. 1 x pro Jahr nach der Blüte gestaffelt mit einem Freischneider gemäht. Teile der Vegetation sollen dabei abwechselnd auch über die Wintermonate stehen gelassen werden. Das Schnittgut muss, nachdem es einige Tage auf der Fläche blieb, abtransportiert werden. Sollten unerwünschte Pflanzenarten aufkommen, sind diese bei einem jährlichen Kontrollgang (Oktober - November) zu entfernen. Bereiche wie Kiesstreifen und Bodenenbeläge, werden ebenfalls überprüft und von Vegetation befreit (Engel 2017; Pfoser & Dierks 2020; Stadt Zürich 2017).",Sandlinsen; Sandflächen; Horizontales Totholz; Steinhaufen
extensive_dachbegruenung_pv_dach,Extensive Dachbegrünung - PV-Dach,Dachbegrünung,,,"Die Begrünung von Dächern kann zum Vorteil verschiedener Tierarten mit der Aufstellung von Solar-Panelen kombiniert werden. Die teilweise Beschattung der Dachflächen führt zu feuchteren Bodenstellen und zu einer Differenzierung der Standortverhältnisse und dadurch zu größerer Artenvielfalt der Vegetation. Außerdem gewährleistet die Kühlwirkung der Dachbegrünung bei Hitzetagen einen besseren Wirkungsgrad der Solaranlagen.
Die Kollektoren sollten aufgeständert werden (Entfernung Unterkante zu Boden mind. 30 cm) und höchsten 50% der Dachflächen beschatten, um ausreichend besonnte Flächen und die entsprechende Vegetation zu ermöglichen. Zwischen den Panel-Reihen sollte ein Abstand von mind. 50-70 cm eingehalten werden. Aufgrund der besseren Zugänglichkeit für die Bewirtschaftung, der höheren Retention und des größeren Spielraumes für die Vegetation ist die aufgeständerte West-Ost Anlage 'Schmetterlingsaufstellung' zu bevorzugen. Dabei ist es wichtig, dass der Spalt, an denen die Kanten der Solarmodule aneinanderstoßen, max. 3mm beträgt. Dies fördert den Wasserablauf und verhindert das Durchwachsen von Pflanzen. Dies kann auch dadurch erreicht werden, indem ca. 50cm vor dem Modul die Substratschichtdicke auf ca. 5cm reduziert wird und ein guter Wasserabfluss gewährleistet ist. Mit der Einrichtung von Substrathügeln an geeigneten Stellen kann trotzdem eine gute Retentionsleistung erreicht werden (Brenneisen et al. 2020; Stadt Zürich 2020).","Bei PV-Anlagen sollte darauf geachtet werden, dass diese nicht beschattet werden. Hochwüchsige Pflanzen sollten jährlich gejähtet oder geschnitten werden. Niedrigwüchsige Vegetation sollte erhalten bleiben.",Sandlinsen; Sandflächen; Horizontales Totholz; Steinhaufen
